dataset,s,method,Avg Time,Std Time,Avg SGap,Std SGap
a5a,5,AGP,0.34,0.18,1.6,1.36
a5a,5,IHT,2.92,0.26,18.86,16.98
a5a,5,PSS,4.02,1.54,0.71,1.59
a5a,10,AGP,3.46,1.55,0.21,0.47
a5a,10,IHT,3.29,0.44,5.12,2.48
a5a,10,PSS,13.1,2.7,1.27,1.31
a5a,20,AGP,3.58,1.74,0.0,0.0
a5a,20,IHT,2.97,0.2,4.95,1.67
a5a,20,PSS,37.22,3.25,1.25,0.76
a6a,5,AGP,0.57,0.15,1.54,1.36
a6a,5,IHT,5.24,0.35,18.26,16.45
a6a,5,PSS,7.92,1.99,0.76,1.71
a6a,10,AGP,3.07,0.88,0.21,0.43
a6a,10,IHT,5.46,0.44,6.61,2.54
a6a,10,PSS,19.99,3.21,1.9,2.03
a6a,20,AGP,5.52,2.07,0.0,0.0
a6a,20,IHT,5.48,0.39,5.1,1.98
a6a,20,PSS,111.94,88.99,1.45,0.96
a7a,5,AGP,0.88,0.17,3.82,2.1
a7a,5,IHT,7.26,0.47,23.72,18.76
a7a,5,PSS,12.15,2.84,0.0,0.0
a7a,10,AGP,4.5,1.75,0.0,0.0
a7a,10,IHT,7.71,0.2,7.02,1.32
a7a,10,PSS,32.67,5.1,1.97,1.79
a7a,20,AGP,6.42,1.92,0.0,0.0
a7a,20,IHT,7.59,0.35,5.52,1.62
a7a,20,PSS,110.7,46.87,1.31,0.68
a8a,5,AGP,1.37,0.57,3.03,1.94
a8a,5,IHT,10.53,0.48,25.64,15.35
a8a,5,PSS,17.63,3.93,0.0,0.0
a8a,10,AGP,9.03,4.86,0.36,0.81
a8a,10,IHT,10.85,0.3,7.15,2.08
a8a,10,PSS,46.72,8.78,1.73,1.99
a8a,20,AGP,13.65,5.06,0.0,0.0
a8a,20,IHT,11.3,0.23,5.77,2.58
a8a,20,PSS,216.87,184.29,2.12,0.44
