m,n,s,method,Avg Time,Std Time,Avg SGap,Std SGap
100,30000,5,Adaptive_IHT,1.38,0.41,16.76,19.37
100,30000,5,IHT,36.67,1.5,75.95,10.62
100,30000,5,Partial_Sparse_Simplex,2.08,0.87,20.82,31.42
100,30000,10,Adaptive_IHT,1.52,0.56,0.81,1.81
100,30000,10,IHT,36.41,1.64,82.45,6.37
100,30000,10,Partial_Sparse_Simplex,6.5,1.89,5.04,7.34
100,30000,20,Adaptive_IHT,1.87,0.4,0.38,0.84
100,30000,20,IHT,36.65,1.41,86.02,3.32
100,30000,20,Partial_Sparse_Simplex,22.39,6.3,27.17,22.24
100,50000,5,Adaptive_IHT,2.61,0.35,11.17,10.84
100,50000,5,IHT,62.94,2.33,86.36,12.26
100,50000,5,Partial_Sparse_Simplex,4.31,1.0,35.72,49.48
100,50000,10,Adaptive_IHT,3.07,0.66,8.38,18.73
100,50000,10,IHT,65.66,1.48,88.35,2.88
100,50000,10,Partial_Sparse_Simplex,11.38,3.28,24.68,28.7
100,50000,20,Adaptive_IHT,4.23,1.27,10.38,16.8
100,50000,20,IHT,62.34,1.84,92.74,4.68
100,50000,20,Partial_Sparse_Simplex,65.0,28.19,25.15,29.7
200,30000,5,Adaptive_IHT,1.68,0.2,0.0,0.0
200,30000,5,IHT,56.89,0.52,99.99,0.01
200,30000,5,Partial_Sparse_Simplex,4.5,1.5,20.0,44.72
200,30000,10,Adaptive_IHT,2.28,0.35,14.34,21.08
200,30000,10,IHT,58.34,1.48,88.03,15.24
200,30000,10,Partial_Sparse_Simplex,15.13,6.37,29.03,44.22
200,30000,20,Adaptive_IHT,2.93,0.66,0.0,0.0
200,30000,20,IHT,59.49,1.4,72.9,6.32
200,30000,20,Partial_Sparse_Simplex,38.92,5.47,27.96,15.42
200,50000,5,Adaptive_IHT,3.21,0.34,20.0,44.72
200,50000,5,IHT,95.45,0.72,100.0,0.0
200,50000,5,Partial_Sparse_Simplex,9.91,2.12,0.0,0.0
200,50000,10,Adaptive_IHT,4.94,0.75,4.18,9.35
200,50000,10,IHT,96.18,0.58,94.63,7.98
200,50000,10,Partial_Sparse_Simplex,35.58,14.17,52.05,50.18
200,50000,20,Adaptive_IHT,5.53,0.88,0.0,0.0
200,50000,20,IHT,97.19,1.14,77.62,13.66
200,50000,20,Partial_Sparse_Simplex,71.1,16.06,34.09,14.01
